id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo [1]. 

Danh sách nguồn đã sử dụng:
[1] support/sla-p1-2026.pdf",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Thông tin trong Answer hoàn toàn phù hợp với Context. Thời gian xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo được nêu rõ trong Chunk 1.,5,"Trả lời cung cấp thông tin chính xác về SLA xử lý ticket P1, phù hợp với câu hỏi được đặt ra.",5,Retrieved: 1/1 expected sources,2,"Model Answer chỉ đề cập đến thời gian xử lý mà không đề cập đến SLA phản hồi ban đầu, do đó thiếu thông tin quan trọng.",variant_hybrid_mmr
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng, nếu đáp ứng đủ các điều kiện quy định [1]. 

Danh sách nguồn đã sử dụng:
[1] policy/refund-v4.pdf | Điều 2: Điều kiện được hoàn tiền | score=0.02",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Thông tin trong Answer hoàn toàn khớp với thông tin trong Context, cụ thể là quy định về thời gian yêu cầu hoàn tiền trong vòng 7 ngày làm việc và các điều kiện khác.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về thời gian yêu cầu hoàn tiền, đồng thời cung cấp thông tin về điều kiện áp dụng.",5,Retrieved: 1/1 expected sources,5,"Model Answer đầy đủ thông tin về thời hạn yêu cầu hoàn tiền và nêu rõ điều kiện áp dụng, hoàn toàn phù hợp với Expected Answer.",variant_hybrid_mmr
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1]. 

Danh sách nguồn đã sử dụng:
[1] it/access-control-sop.md | Section 2: Phân cấp quyền truy cập.","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Mọi thông tin trong Answer đều chính xác và có thể tìm thấy trong Context. Cụ thể, thông tin về việc cần phê duyệt của Line Manager, IT Admin và IT Security để cấp quyền Level 3 hoàn toàn phù hợp với nội dung của Chunk 1.",5,"Câu trả lời rõ ràng và trực tiếp cung cấp thông tin về những người cần phê duyệt để cấp quyền Level 3, hoàn toàn phù hợp với yêu cầu của câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm tất cả thông tin quan trọng và cần thiết, tương ứng với Expected Answer, cụ thể là việc cần phê duyệt từ Line Manager, IT Admin và IT Security để cấp quyền Level 3.",variant_hybrid_mmr
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Cụ thể, các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription không đủ điều kiện hoàn tiền theo quy định [1]. 

Danh sách nguồn đã sử dụng:
[1] policy/refund-v4.pdf","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Mọi thông tin trong Answer đều có thể tìm thấy trong Context, cụ thể là điều kiện không được hoàn tiền đối với sản phẩm kỹ thuật số như license key và subscription.",5,"Trả lời trực tiếp vào câu hỏi về việc hoàn tiền cho sản phẩm kỹ thuật số, cung cấp thông tin chi tiết về quy định hoàn tiền.",5,Retrieved: 1/1 expected sources,5,"Model Answer cung cấp thông tin đầy đủ và chính xác theo Expected Answer, nêu rõ rằng sản phẩm kỹ thuật số không được hoàn tiền và liệt kê các loại sản phẩm cụ thể như license key và subscription.",variant_hybrid_mmr
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1]. 

Nguồn đã sử dụng:
[1] support/helpdesk-faq.md | Section 1: Tài khoản và mật khẩu",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Tất cả thông tin trong Answer đều được cung cấp và xác nhận trong Context. Không có thông tin nào bịa đặt.,5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi về việc tài khoản bị khóa sau bao nhiêu lần đăng nhập sai, đồng thời cung cấp thông tin bổ sung về cách mở khóa.",5,Retrieved: 1/1 expected sources,5,"Model Answer hoàn toàn đáp ứng yêu cầu của Expected Answer bằng cách cung cấp đầy đủ thông tin về việc tài khoản bị khóa sau 5 lần đăng nhập sai, đồng thời bổ sung thông tin mở khóa tài khoản, mang lại trải nghiệm đầy đủ cho người dùng.",variant_hybrid_mmr
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) để khắc phục sự cố, sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].

Danh sách nguồn đã sử dụng:
[1] it/access-control-sop.md | Section 4: Escalation khi cần thay đổi quyền hệ thống.",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Answer hoàn toàn trung thực, mọi thông tin đều có thể tìm thấy trong Context. Các bước trong quy trình escalation và các yêu cầu liên quan đều được mô tả chính xác.",5,"Trả lời mô tả rõ ràng quy trình escalation trong sự cố P1, bao gồm các bước cụ thể và yêu cầu cần thiết, hoàn toàn liên quan đến câu hỏi.",5,Retrieved: 1/1 expected sources,2,"Model Answer chỉ đề cập đến quy trình cấp quyền tạm thời và không nhắc đến việc ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút, điều này là thông tin cốt lõi trong Expected Answer.",variant_hybrid_mmr
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tôi xin lỗi, thông tin này không có trong tài liệu nội bộ.",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,1,"Answer khẳng định rằng không có thông tin nào trong tài liệu nội bộ, trong khi tài liệu rõ ràng quy định quy trình cấp phép truy cập. Do đó, thông tin này là không chính xác và bịa đặt.",1,Trả lời không liên quan đến yêu cầu của câu hỏi và không cung cấp thông tin cần thiết về tài liệu Approval Matrix.,5,Retrieved: 1/1 expected sources,1,"Model Answer does not provide any relevant information regarding the change in document name, thus missing the core information of the Expected Answer.",variant_hybrid_mmr
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1]. 

Nguồn đã sử dụng:
[1] hr/leave-policy-2026.pdf","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Mọi thông tin trong Answer đều có thể tìm thấy trong Context, bao gồm việc nhân viên được làm remote tối đa 2 ngày/tuần sau khi hoàn thành probation period và cần sự phê duyệt từ Team Lead qua HR Portal.",5,"Trả lời trực tiếp và đầy đủ cho câu hỏi về số ngày làm remote trong tuần, bao gồm thông tin về điều kiện thực hiện và sự phê duyệt từ Team Lead.",5,Retrieved: 1/1 expected sources,5,"Model Answer đầy đủ thông tin về việc làm remote sau probation period, bao gồm số ngày tối đa (2 ngày/tuần) và điều kiện phê duyệt từ Team Lead.",variant_hybrid_mmr
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Tôi xin lỗi, thông tin này không có trong tài liệu nội bộ.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Answer khẳng định rằng thông tin không có trong tài liệu nội bộ, điều này phù hợp với thực tế là không có thông tin nào trong Context liên quan đến câu hỏi được đề cập.",1,Trả lời không liên quan và không cung cấp thông tin về lỗi ERR-403-AUTH cũng như cách xử lý.,,No expected sources,3,"Model Answer acknowledges the lack of information but does not mention the potential relation to authentication or suggest contacting IT Helpdesk, missing key aspects of the Expected Answer.",variant_hybrid_mmr
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tôi xin lỗi, thông tin này không có trong tài liệu nội bộ.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"Answer không cung cấp thông tin mà khách hàng cần và khẳng định thông tin không có trong tài liệu, trong khi các điều kiện về hoàn tiền và quy trình liên quan được nêu rõ trong Context.",1,Trả lời không liên quan và không cung cấp thông tin nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,5,Retrieved: 1/1 expected sources,1,Model Answer does not address the specifics of the Expected Answer and lacks any relevant information about the refund process for VIP customers.,variant_hybrid_mmr
